Name,Age,Height,Weight,Position,Apps,Total minutes,Scored goals,Assists,Total shots,Shots on goal,Duels total,Duels won,Dribble attempts,Dribbles succ.,Total duels,Total passes,Key passes,Tackles,Blocks,Interceptions,Total saves,Goals conceded,Fouls drawn,Fouls committed,Yellow cards,Red cards for 2nd yellow,Straight red cards,Penalties won,Penalties scored,Penalties missed,Penalties committed,Penalties saved
Lyanco,25,187 cm,85 kg,Midfielder,1.0,3.0,0.0,,,,,,,,,1.0,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
N. Barella,25,175 cm,68 kg,Midfielder,32.0,2301.0,2.0,1.0,9.0,3.0,307.0,166.0,24.0,20.0,307.0,1046.0,11.0,56.0,12.0,49.0,,0.0,56.0,49.0,9.0,0.0,0.0,,0.0,0.0,,
A. Bastoni,23,190 cm,75 kg,Midfielder,29.0,1352.0,1.0,2.0,14.0,4.0,264.0,131.0,76.0,44.0,264.0,313.0,12.0,39.0,,10.0,,0.0,32.0,20.0,4.0,0.0,0.0,,0.0,0.0,,
F. Dimarco,25,175 cm,75 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
I. Provedel,28,192 cm,82 kg,Goalkeeper,37.0,3330.0,0.0,1.0,,,14.0,13.0,,,14.0,1065.0,1.0,1.0,,1.0,122.0,54.0,6.0,,0.0,0.0,0.0,,0.0,0.0,,3.0
G. Di Lorenzo,29,183 cm,83 kg,Midfielder,16.0,577.0,0.0,,7.0,3.0,97.0,53.0,12.0,9.0,97.0,285.0,6.0,18.0,2.0,8.0,,0.0,14.0,13.0,2.0,0.0,0.0,,0.0,0.0,,
S. Tonali,22,181 cm,79 kg,Midfielder,14.0,922.0,1.0,,7.0,3.0,97.0,53.0,12.0,9.0,97.0,285.0,6.0,18.0,2.0,8.0,,0.0,14.0,13.0,0.0,0.0,0.0,,0.0,0.0,,
T. Pobega,23,188 cm,75 kg,Goalkeeper,2.0,134.0,0.0,,,,1.0,1.0,,,1.0,44.0,,,,,5.0,2.0,,,0.0,0.0,0.0,,0.0,0.0,,1.0
G. Vicario,26,194 cm,83 kg,Defender,37.0,3222.0,1.0,3.0,6.0,2.0,237.0,140.0,54.0,31.0,237.0,1595.0,29.0,42.0,2.0,32.0,,0.0,26.0,13.0,2.0,0.0,1.0,,0.0,0.0,,
Djavan Lorenzo Anderson,27,174 cm,70 kg,Attacker,37.0,2856.0,4.0,6.0,22.0,15.0,354.0,150.0,69.0,41.0,354.0,905.0,27.0,30.0,2.0,14.0,,0.0,52.0,65.0,4.0,0.0,0.0,,0.0,0.0,,
C. Eriksen,30,182 cm,76 kg,Midfielder,23.0,1357.0,0.0,4.0,7.0,2.0,134.0,63.0,21.0,8.0,134.0,436.0,18.0,27.0,2.0,13.0,,0.0,13.0,18.0,4.0,0.0,0.0,,0.0,0.0,,
S. de Vrij,30,189 cm,78 kg,Attacker,25.0,1898.0,11.0,3.0,36.0,18.0,292.0,107.0,43.0,27.0,292.0,459.0,22.0,12.0,1.0,3.0,,0.0,27.0,55.0,5.0,0.0,0.0,,4.0,0.0,,
D. Mertens,35,169 cm,61 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,2.0
M. de Ligt,23,188 cm,89 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,1.0,0.0,0.0,,0.0,0.0,,1.0
A. Saelemaekers,23,180 cm,72 kg,Midfielder,24.0,718.0,1.0,1.0,4.0,3.0,109.0,54.0,9.0,8.0,109.0,476.0,2.0,26.0,3.0,19.0,,0.0,8.0,14.0,5.0,0.0,0.0,,0.0,0.0,,
A. Ramsey,32,178 cm,76 kg,Attacker,21.0,982.0,6.0,1.0,23.0,15.0,49.0,24.0,17.0,7.0,49.0,351.0,10.0,5.0,,9.0,,0.0,12.0,2.0,1.0,0.0,0.0,,0.0,0.0,,
R. Rodríguez,30,181 cm,78 kg,Goalkeeper,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
J. Mæhle,25,185 cm,79 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
R. Malinovskyi,29,181 cm,79 kg,Attacker,5.0,25.0,0.0,,1.0,1.0,9.0,4.0,2.0,2.0,9.0,13.0,,1.0,,,,0.0,1.0,3.0,0.0,0.0,0.0,,0.0,0.0,,
S. Kjær,33,190 cm,86 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
J. Larsen,31,180 cm,81 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
R. Freuler,30,180 cm,80 kg,Defender,11.0,809.0,0.0,,,,8.0,4.0,2.0,2.0,8.0,21.0,1.0,1.0,,1.0,,0.0,1.0,2.0,3.0,0.0,0.0,,0.0,0.0,,
M. Damsgaard,22,176 cm,66 kg,Defender,3.0,25.0,0.0,,,,8.0,4.0,2.0,2.0,8.0,21.0,1.0,1.0,,1.0,,0.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,,
A. Skov Olsen,23,187 cm,79 kg,Defender,25.0,1749.0,0.0,,,,20.0,11.0,,,20.0,114.0,,4.0,5.0,7.0,,0.0,3.0,5.0,8.0,0.0,0.0,,0.0,0.0,,
K. Ayhan,28,184 cm,84 kg,Defender,3.0,270.0,0.0,,,,20.0,11.0,,,20.0,114.0,,4.0,5.0,7.0,,0.0,3.0,5.0,2.0,0.0,0.0,,0.0,0.0,,
M. de Roon,31,185 cm,76 kg,Defender,12.0,882.0,0.0,1.0,,,86.0,55.0,2.0,1.0,86.0,444.0,4.0,27.0,6.0,23.0,,0.0,10.0,9.0,3.0,0.0,0.0,,0.0,0.0,,
M. Gabbiadini,31,181 cm,75 kg,Defender,14.0,569.0,0.0,,3.0,2.0,71.0,36.0,12.0,5.0,71.0,258.0,3.0,9.0,1.0,12.0,,0.0,12.0,12.0,0.0,0.0,0.0,,0.0,0.0,,
G. Raspadori,22,172 cm,69 kg,Defender,0.0,0.0,0.0,,3.0,2.0,71.0,36.0,12.0,5.0,71.0,258.0,3.0,9.0,1.0,12.0,,0.0,12.0,12.0,0.0,0.0,0.0,,0.0,0.0,,
G. Scamacca,23,195 cm,85 kg,Midfielder,4.0,225.0,0.0,,1.0,,33.0,18.0,1.0,1.0,33.0,119.0,2.0,5.0,3.0,,,0.0,4.0,6.0,1.0,0.0,0.0,,0.0,0.0,,
M. Cancellieri,20,,,Midfielder,0.0,0.0,0.0,,1.0,,33.0,18.0,1.0,1.0,33.0,119.0,2.0,5.0,3.0,,,0.0,4.0,6.0,0.0,0.0,0.0,,0.0,0.0,,
Álvaro Morata,30,190 cm,84 kg,Attacker,33.0,2212.0,13.0,1.0,58.0,28.0,230.0,98.0,28.0,17.0,230.0,502.0,19.0,12.0,1.0,7.0,,0.0,35.0,27.0,1.0,0.0,0.0,,2.0,1.0,,
M. Škriniar,27,187 cm,80 kg,Defender,25.0,1507.0,0.0,,9.0,2.0,224.0,133.0,2.0,2.0,224.0,603.0,1.0,26.0,16.0,44.0,,0.0,29.0,44.0,8.0,0.0,0.0,,0.0,0.0,,
M. Brozović,30,181 cm,68 kg,Midfielder,32.0,2098.0,5.0,4.0,32.0,14.0,291.0,120.0,58.0,36.0,291.0,877.0,55.0,32.0,2.0,9.0,,0.0,39.0,52.0,5.0,0.0,0.0,,1.0,0.0,,
I. Perišić,33,186 cm,80 kg,Goalkeeper,37.0,3330.0,0.0,,,,19.0,16.0,,,19.0,1059.0,,,,,105.0,74.0,6.0,3.0,3.0,0.0,0.0,,0.0,0.0,,1.0
R. Olsen,32,198 cm,89 kg,Defender,15.0,1124.0,0.0,,,,20.0,7.0,2.0,1.0,20.0,85.0,3.0,3.0,,3.0,,0.0,1.0,5.0,2.0,0.0,0.0,,0.0,0.0,,
C. Ünder,25,173 cm,66 kg,Defender,5.0,191.0,0.0,,,,20.0,7.0,2.0,1.0,20.0,85.0,3.0,3.0,,3.0,,0.0,1.0,5.0,0.0,0.0,0.0,,0.0,0.0,,
W. Szczęsny,32,195 cm,90 kg,Defender,2.0,77.0,0.0,,,,20.0,7.0,2.0,1.0,20.0,85.0,3.0,3.0,,3.0,,0.0,1.0,5.0,0.0,0.0,0.0,,0.0,0.0,,
Pau López,28,189 cm,77 kg,Midfielder,20.0,373.0,0.0,,2.0,1.0,68.0,27.0,14.0,6.0,68.0,198.0,8.0,11.0,2.0,12.0,,0.0,3.0,13.0,1.0,0.0,0.0,,0.0,0.0,,
M. Pašalić,27,188 cm,82 kg,Defender,27.0,1769.0,0.0,2.0,6.0,2.0,210.0,118.0,8.0,8.0,210.0,1138.0,6.0,20.0,25.0,69.0,,0.0,11.0,31.0,4.0,0.0,0.0,,0.0,0.0,,
Ł. Skorupski,31,187 cm,84 kg,Midfielder,11.0,757.0,3.0,1.0,12.0,7.0,146.0,63.0,26.0,15.0,146.0,167.0,8.0,16.0,,13.0,,0.0,10.0,18.0,2.0,0.0,0.0,,0.0,0.0,,
M. Busi,23,182 cm,78 kg,Goalkeeper,1.0,27.0,0.0,,,,,,,,,11.0,,,,,1.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0
D. Kulusevski,22,186 cm,80 kg,Defender,34.0,2895.0,4.0,7.0,24.0,10.0,314.0,165.0,49.0,21.0,314.0,1170.0,23.0,63.0,18.0,49.0,,0.0,38.0,47.0,8.0,0.0,0.0,,0.0,0.0,,
M. Svanberg,23,185 cm,75 kg,Attacker,25.0,1700.0,11.0,5.0,35.0,20.0,100.0,49.0,14.0,6.0,100.0,408.0,16.0,,,1.0,,0.0,32.0,16.0,1.0,0.0,0.0,,3.0,0.0,,
A. Barák,28,190 cm,86 kg,Midfielder,27.0,996.0,3.0,3.0,14.0,10.0,169.0,69.0,32.0,19.0,169.0,503.0,19.0,11.0,2.0,9.0,,0.0,21.0,25.0,3.0,0.0,0.0,,0.0,0.0,,
M. Erlić,24,192 cm,78 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Juraj Kucka,35,186 cm,86 kg,Midfielder,33.0,1858.0,0.0,1.0,4.0,1.0,293.0,157.0,48.0,39.0,293.0,1301.0,9.0,44.0,3.0,21.0,,0.0,49.0,51.0,7.0,0.0,0.0,,0.0,0.0,,
B. Drągowski,25,191 cm,74 kg,Attacker,33.0,1618.0,1.0,5.0,30.0,13.0,186.0,86.0,63.0,39.0,186.0,563.0,53.0,19.0,,8.0,,0.0,24.0,24.0,6.0,0.0,0.0,,0.0,0.0,,
Lukáš Haraslín,26,182 cm,71 kg,Attacker,2.0,18.0,0.0,,,,3.0,,,,3.0,9.0,,,,,,0.0,,1.0,0.0,0.0,0.0,,0.0,0.0,,
A. Hickey,20,178 cm,72 kg,Defender,16.0,1091.0,1.0,,4.0,2.0,80.0,47.0,2.0,2.0,80.0,596.0,,13.0,14.0,8.0,,0.0,8.0,10.0,2.0,0.0,0.0,,0.0,0.0,,
S. Lobotka,28,170 cm,68 kg,Goalkeeper,29.0,2610.0,0.0,,,,7.0,6.0,1.0,1.0,7.0,1003.0,1.0,,,1.0,76.0,41.0,1.0,,1.0,0.0,0.0,,0.0,0.0,,2.0
K. Glik,34,190 cm,80 kg,Midfielder,28.0,1175.0,1.0,,19.0,7.0,202.0,92.0,47.0,30.0,202.0,406.0,10.0,24.0,,6.0,,0.0,30.0,25.0,5.0,0.0,0.0,,0.0,0.0,,
H. Lozano,27,175 cm,70 kg,Midfielder,32.0,2502.0,3.0,6.0,24.0,11.0,153.0,68.0,39.0,20.0,153.0,1038.0,35.0,29.0,7.0,20.0,,0.0,2.0,10.0,3.0,0.0,0.0,,0.0,0.0,,
Mário Rui,31,170 cm,67 kg,Midfielder,33.0,2312.0,1.0,,11.0,3.0,298.0,152.0,48.0,37.0,298.0,1006.0,12.0,41.0,8.0,32.0,,0.0,29.0,35.0,6.0,0.0,0.0,,0.0,0.0,,
Fabián Ruiz,26,189 cm,70 kg,Attacker,20.0,699.0,5.0,,14.0,11.0,115.0,42.0,8.0,5.0,115.0,133.0,3.0,7.0,,2.0,,0.0,13.0,16.0,0.0,0.0,0.0,,0.0,0.0,,
P. Zieliński,28,180 cm,75 kg,Attacker,2.0,133.0,0.0,,2.0,2.0,18.0,9.0,2.0,2.0,18.0,41.0,,2.0,,,,0.0,3.0,2.0,0.0,0.0,0.0,,0.0,0.0,,
A. Milik,28,186 cm,80 kg,Midfielder,21.0,1317.0,2.0,2.0,8.0,4.0,139.0,69.0,12.0,9.0,139.0,801.0,11.0,26.0,1.0,12.0,,0.0,10.0,19.0,1.0,0.0,0.0,,2.0,0.0,,
Cristiano Ronaldo,37,187 cm,83 kg,Attacker,19.0,1268.0,2.0,,18.0,7.0,169.0,62.0,18.0,8.0,169.0,256.0,13.0,7.0,1.0,1.0,,0.0,21.0,32.0,0.0,0.0,0.0,,0.0,0.0,,
Diogo Dalot,23,183 cm,76 kg,Attacker,17.0,1102.0,2.0,,18.0,7.0,169.0,62.0,18.0,8.0,169.0,256.0,13.0,7.0,1.0,1.0,,0.0,21.0,32.0,1.0,0.0,0.0,,0.0,0.0,,
G. Donnarumma,23,196 cm,90 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
B. Bereszyński,30,183 cm,77 kg,Midfielder,29.0,1832.0,2.0,,11.0,3.0,204.0,120.0,40.0,30.0,204.0,1102.0,16.0,26.0,5.0,27.0,,0.0,29.0,23.0,2.0,0.0,0.0,,0.0,0.0,,
K. Linetty,27,176 cm,73 kg,Attacker,31.0,1553.0,10.0,2.0,23.0,15.0,159.0,56.0,22.0,10.0,159.0,363.0,23.0,3.0,,,,0.0,28.0,10.0,1.0,0.0,0.0,,0.0,0.0,,
A. Reca,27,187 cm,81 kg,Goalkeeper,1.0,90.0,0.0,,,,,,,,,21.0,,,,,2.0,1.0,,,0.0,0.0,0.0,,0.0,0.0,,1.0
J. Brunetta,25,175 cm,68 kg,Attacker,27.0,817.0,1.0,,24.0,8.0,165.0,78.0,7.0,2.0,165.0,248.0,11.0,3.0,2.0,3.0,,0.0,19.0,14.0,1.0,0.0,0.0,,0.0,0.0,,
L. Agoumé,20,185 cm,72 kg,Attacker,21.0,761.0,2.0,1.0,13.0,8.0,113.0,36.0,32.0,17.0,113.0,276.0,15.0,9.0,,6.0,,0.0,7.0,12.0,0.0,0.0,0.0,,0.0,0.0,,
Rafael Leão,23,188 cm,81 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
J. Veretout,29,177 cm,67 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
R. Gosens,28,183 cm,76 kg,Attacker,1.0,44.0,0.0,,1.0,1.0,10.0,3.0,3.0,1.0,10.0,8.0,1.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
P. Dawidowicz,27,189 cm,80 kg,Midfielder,22.0,1848.0,1.0,,27.0,6.0,222.0,108.0,60.0,29.0,222.0,752.0,23.0,41.0,,15.0,,0.0,21.0,21.0,5.0,0.0,0.0,,0.0,0.0,,
M. Olivera,30,181 cm,72 kg,Midfielder,4.0,40.0,0.0,,27.0,6.0,222.0,108.0,60.0,29.0,222.0,752.0,23.0,41.0,,15.0,,0.0,21.0,21.0,0.0,0.0,0.0,,0.0,0.0,,
N. Zalewski,20,164 cm,,Defender,28.0,2185.0,1.0,2.0,6.0,2.0,238.0,116.0,9.0,7.0,238.0,1064.0,9.0,54.0,15.0,45.0,,0.0,13.0,65.0,10.0,0.0,0.0,,0.0,0.0,,
D. Godín,36,187 cm,78 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
M. Vecino,31,187 cm,81 kg,Midfielder,5.0,77.0,0.0,,,,8.0,6.0,2.0,2.0,8.0,60.0,4.0,2.0,,,,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,
Lautaro Martínez,25,174 cm,72 kg,Midfielder,7.0,200.0,0.0,,1.0,1.0,15.0,5.0,2.0,2.0,15.0,63.0,,1.0,1.0,2.0,,0.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,,
Danilo,31,184 cm,78 kg,Midfielder,13.0,399.0,0.0,,5.0,1.0,39.0,23.0,5.0,2.0,39.0,279.0,4.0,9.0,8.0,5.0,,0.0,7.0,6.0,2.0,0.0,0.0,,0.0,0.0,,
R. Bentancur,25,187 cm,72 kg,Defender,1.0,35.0,0.0,,,,6.0,3.0,1.0,1.0,6.0,32.0,,,,,,0.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,
P. Dybala,29,177 cm,75 kg,Defender,12.0,495.0,0.0,1.0,1.0,,53.0,29.0,16.0,10.0,53.0,217.0,6.0,13.0,3.0,6.0,,0.0,3.0,4.0,3.0,0.0,0.0,,0.0,0.0,,
A. Sánchez,34,169 cm,62 kg,Attacker,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
J. Correa,28,189 cm,75 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
G. Medel,35,171 cm,65 kg,Defender,6.0,350.0,0.0,,,,20.0,11.0,4.0,3.0,20.0,159.0,,5.0,1.0,2.0,,0.0,2.0,3.0,0.0,0.0,0.0,,0.0,0.0,,
G. Pezzella,31,187 cm,82 kg,Midfielder,14.0,381.0,0.0,,2.0,1.0,41.0,22.0,11.0,8.0,41.0,208.0,4.0,7.0,,5.0,,0.0,5.0,3.0,1.0,0.0,0.0,,0.0,0.0,,
R. De Paul,28,180 cm,70 kg,Attacker,18.0,520.0,2.0,,6.0,3.0,65.0,22.0,18.0,9.0,65.0,189.0,11.0,7.0,,1.0,,0.0,1.0,11.0,0.0,0.0,0.0,,0.0,0.0,,
T. Tomiyasu,24,188 cm,70 kg,Attacker,9.0,171.0,0.0,,3.0,,33.0,13.0,8.0,5.0,33.0,67.0,,3.0,,1.0,,0.0,4.0,4.0,1.0,0.0,0.0,,0.0,0.0,,
N. Molina,24,175 cm,70 kg,Defender,17.0,949.0,0.0,,2.0,,75.0,46.0,4.0,3.0,75.0,677.0,3.0,22.0,5.0,17.0,,0.0,2.0,11.0,6.0,0.0,0.0,,0.0,0.0,,
M. Yoshida,34,189 cm,78 kg,Defender,5.0,284.0,0.0,,,,31.0,11.0,4.0,2.0,31.0,114.0,1.0,4.0,,6.0,,0.0,3.0,5.0,0.0,0.0,0.0,,0.0,0.0,,
Ibañez,24,185 cm,73 kg,Midfielder,8.0,213.0,0.0,,2.0,,33.0,13.0,2.0,1.0,33.0,73.0,1.0,6.0,1.0,3.0,,0.0,3.0,7.0,2.0,0.0,0.0,,0.0,0.0,,
P. Gómez,34,167 cm,68 kg,Midfielder,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Bremer,25,188 cm,80 kg,Attacker,4.0,115.0,1.0,,2.0,2.0,15.0,5.0,5.0,4.0,15.0,27.0,2.0,,,,,0.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,,
C. Romero,24,185 cm,79 kg,Defender,3.0,65.0,0.0,,,,16.0,5.0,1.0,,16.0,37.0,,1.0,,,,0.0,2.0,6.0,2.0,0.0,0.0,,0.0,0.0,,
E. Shomurodov,27,190 cm,81 kg,Midfielder,22.0,1158.0,1.0,,1.0,1.0,109.0,59.0,24.0,19.0,109.0,1080.0,17.0,17.0,1.0,18.0,,0.0,21.0,11.0,3.0,0.0,0.0,,0.0,0.0,,
M. Satriano,21,187 cm,75 kg,Goalkeeper,22.0,1980.0,0.0,,,,8.0,6.0,,,8.0,506.0,1.0,,,,53.0,29.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,1.0
K. Koulibaly,31,195 cm,89 kg,Midfielder,34.0,2148.0,1.0,3.0,20.0,8.0,191.0,99.0,28.0,24.0,191.0,1512.0,16.0,28.0,8.0,40.0,,0.0,13.0,31.0,8.0,0.0,0.0,,0.0,0.0,,
A. Diawara,25,183 cm,75 kg,Defender,26.0,2032.0,2.0,,12.0,3.0,123.0,73.0,5.0,4.0,123.0,1506.0,3.0,19.0,13.0,33.0,,0.0,16.0,21.0,4.0,0.0,0.0,,0.0,0.0,,
L. Insigne,31,163 cm,59 kg,Defender,26.0,1424.0,1.0,4.0,12.0,5.0,79.0,38.0,13.0,5.0,79.0,528.0,29.0,15.0,,6.0,,0.0,15.0,13.0,4.0,0.0,0.0,,0.0,0.0,,
G. Chiellini,38,187 cm,85 kg,Goalkeeper,9.0,810.0,0.0,,,,6.0,6.0,,,6.0,295.0,,1.0,,1.0,24.0,14.0,2.0,,1.0,0.0,0.0,,0.0,0.0,,2.0
J. Cuadrado,34,179 cm,72 kg,Defender,32.0,2815.0,0.0,1.0,4.0,,233.0,143.0,8.0,6.0,233.0,2039.0,10.0,51.0,15.0,76.0,,0.0,24.0,31.0,8.0,1.0,0.0,,0.0,0.0,,
F. Bernardeschi,28,185 cm,77 kg,Defender,14.0,910.0,0.0,,1.0,,99.0,56.0,5.0,2.0,99.0,543.0,3.0,32.0,9.0,21.0,,0.0,8.0,14.0,5.0,0.0,0.0,,0.0,0.0,,
Lucas Paquetá,25,180 cm,72 kg,Defender,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
Y. Osorio,28,189 cm,77 kg,Defender,31.0,2541.0,2.0,,22.0,8.0,225.0,120.0,16.0,8.0,225.0,1612.0,15.0,51.0,7.0,33.0,,0.0,15.0,38.0,10.0,0.0,0.0,,0.0,0.0,,
T. Rincón,34,177 cm,76 kg,Defender,23.0,1958.0,0.0,,10.0,3.0,147.0,89.0,20.0,18.0,147.0,1254.0,6.0,21.0,26.0,46.0,,0.0,13.0,24.0,8.0,0.0,0.0,,0.0,0.0,,
A. Gaich,23,190 cm,94 kg,Midfielder,36.0,2901.0,3.0,7.0,28.0,8.0,337.0,177.0,52.0,35.0,337.0,1840.0,47.0,58.0,4.0,27.0,,0.0,53.0,43.0,5.0,0.0,0.0,,0.0,0.0,,
Kaique Rocha,21,197 cm,89 kg,Defender,33.0,2926.0,0.0,3.0,9.0,1.0,214.0,125.0,15.0,12.0,214.0,2243.0,12.0,37.0,16.0,40.0,,0.0,28.0,40.0,6.0,0.0,0.0,,0.0,0.0,,
Nicolas N'Koulou,32,184 cm,77 kg,Defender,35.0,2615.0,5.0,3.0,29.0,12.0,204.0,107.0,21.0,10.0,204.0,1476.0,73.0,33.0,9.0,47.0,,0.0,50.0,32.0,6.0,0.0,0.0,,0.0,0.0,,
D. Criscito,36,183 cm,75 kg,Goalkeeper,29.0,2610.0,0.0,,,,23.0,18.0,1.0,1.0,23.0,1269.0,,2.0,,2.0,76.0,55.0,7.0,,1.0,0.0,0.0,,0.0,0.0,,2.0
G. Lapadula,32,178 cm,69 kg,Defender,36.0,3240.0,3.0,6.0,26.0,12.0,387.0,224.0,54.0,30.0,387.0,2189.0,49.0,79.0,13.0,35.0,,0.0,60.0,50.0,11.0,0.0,0.0,,0.0,0.0,,
G. Vrioni,24,188 cm,85 kg,Midfielder,25.0,1335.0,0.0,,6.0,3.0,114.0,57.0,14.0,6.0,114.0,739.0,16.0,28.0,5.0,22.0,,0.0,17.0,18.0,1.0,0.0,1.0,,0.0,0.0,,
S. Breza,24,193 cm,87 kg,Midfielder,20.0,1242.0,6.0,,19.0,10.0,139.0,62.0,8.0,4.0,139.0,440.0,7.0,24.0,2.0,9.0,,0.0,17.0,28.0,6.0,0.0,0.0,,0.0,0.0,,
J. Mojica,30,185 cm,66 kg,Goalkeeper,4.0,360.0,0.0,,,,1.0,1.0,,,1.0,89.0,,,,,15.0,6.0,1.0,,0.0,0.0,0.0,,0.0,0.0,,1.0
A. Diallo,20,173 cm,72 kg,Defender,3.0,72.0,0.0,,,,6.0,1.0,2.0,,6.0,23.0,,,,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,
P. Kalulu,22,179 cm,69 kg,Midfielder,26.0,1392.0,3.0,,21.0,12.0,87.0,35.0,15.0,11.0,87.0,952.0,31.0,12.0,1.0,9.0,,0.0,4.0,13.0,1.0,0.0,0.0,,0.0,0.0,,
Javier Vicario Yagüe,20,189 cm,,Defender,32.0,2732.0,1.0,,9.0,4.0,178.0,107.0,6.0,5.0,178.0,1960.0,6.0,28.0,18.0,41.0,,0.0,10.0,19.0,2.0,0.0,0.0,,0.0,0.0,,
A. Hakimi,24,181 cm,73 kg,Attacker,29.0,1464.0,9.0,8.0,40.0,19.0,100.0,38.0,22.0,11.0,100.0,422.0,36.0,16.0,1.0,9.0,,0.0,9.0,15.0,2.0,0.0,0.0,,0.0,0.0,,
S. Amrabat,26,185 cm,70 kg,Defender,27.0,2221.0,1.0,1.0,13.0,6.0,208.0,124.0,7.0,6.0,208.0,1726.0,9.0,37.0,21.0,31.0,,0.0,23.0,40.0,4.0,0.0,0.0,,0.0,0.0,,
A. Vidal,35,180 cm,75 kg,Midfielder,32.0,2034.0,2.0,4.0,22.0,7.0,251.0,121.0,61.0,37.0,251.0,803.0,31.0,43.0,1.0,25.0,,0.0,34.0,29.0,6.0,1.0,0.0,,0.0,0.0,,
David Ospina Ramírez,34,183 cm,80 kg,Midfielder,22.0,1093.0,2.0,4.0,19.0,11.0,118.0,58.0,13.0,10.0,118.0,700.0,31.0,22.0,2.0,7.0,,0.0,18.0,19.0,2.0,0.0,0.0,,0.0,0.0,,
A. Ounas,26,172 cm,65 kg,Defender,16.0,1245.0,0.0,,10.0,2.0,87.0,47.0,7.0,4.0,87.0,635.0,6.0,21.0,5.0,20.0,,0.0,6.0,13.0,1.0,0.0,0.0,,0.0,0.0,,
Konstantinos Manolas,31,189 cm,83 kg,Defender,20.0,1211.0,0.0,2.0,12.0,6.0,110.0,52.0,31.0,16.0,110.0,586.0,14.0,18.0,2.0,11.0,,0.0,11.0,10.0,0.0,0.0,0.0,,0.0,0.0,,
M. Cáceres,35,180 cm,78 kg,Midfielder,36.0,1880.0,8.0,12.0,45.0,21.0,326.0,152.0,88.0,51.0,326.0,992.0,80.0,19.0,1.0,2.0,,0.0,53.0,46.0,3.0,0.0,0.0,,1.0,0.0,,
Douglas Costa,32,172 cm,70 kg,Defender,28.0,2397.0,0.0,2.0,13.0,2.0,189.0,109.0,,,189.0,1477.0,7.0,45.0,26.0,42.0,,0.0,10.0,26.0,3.0,0.0,0.0,,0.0,0.0,,
F. Kessie,26,183 cm,74 kg,Defender,33.0,2647.0,2.0,,20.0,12.0,154.0,66.0,23.0,14.0,154.0,1070.0,10.0,17.0,11.0,24.0,,0.0,13.0,12.0,0.0,0.0,0.0,,0.0,0.0,,
E. Pulgar,28,187 cm,78 kg,Midfielder,34.0,2721.0,2.0,3.0,14.0,7.0,301.0,150.0,55.0,39.0,301.0,2079.0,30.0,63.0,4.0,39.0,,0.0,31.0,38.0,5.0,0.0,0.0,,0.0,0.0,,
I. Bennacer,25,175 cm,70 kg,Midfielder,35.0,1769.0,2.0,4.0,16.0,8.0,308.0,144.0,87.0,51.0,308.0,673.0,25.0,42.0,4.0,24.0,,0.0,28.0,26.0,3.0,0.0,0.0,,0.0,0.0,,
